name,founded_date.x,ror_name,match_score,founded_date.y
Tanzania Institute of Accountancy,2002,,0.549,2002
Université Catholique du Graben,1989,,0.52,1989
ABM University College,1989,,0.515,1989
AIMS Research and Innovation Centre,2023,,0.545,2023
Abbès Laghrour University of Khenchela,2001,,0.527,2001
Abdelmalek Essaâdi University,1989,,0.542,1989
Abdulrahman Al-Sumait University,1998,,0.553,1998
Abia State University,1981,,0.547,1981
Abiola Ajimobi Technical University Ibadan,2012,,0.569,2012
Abrar Research and Training Centre (ARACHTI),2014,,0.566,2014
Abrar University,2014,,0.506,2014
Abubakar Tafawa Balewa University,1980,,0.508,1980
Academic City College University,2009,,0.562,2009
Academic University,2018,,0.527,2018
Academy of Arts,1959,,0.503,1959
Academy of Engineering Sciences,2002,,0.558,2002
Académie des Beaux-Arts,1943,,0.46,1943
Accra Institute of Technology,2009,,0.519,2009
Accra Technical University,1949,,0.533,1949
Achievers University,2007,,0.479,2007
Adama Hospital Medical College,2012,,0.545,2012
Adama Science and Technology University,1993,,0.553,1993
Adamawa State University,2002,,0.547,2002
Addis Ababa Science and Technology University,2011,,0.568,2011
Addis Ababa University,1950,,0.508,1950
Adekunle Ajasin University,1999,,0.536,1999
Adeleke University,1996,,0.458,1996
Adigrat University,2011,,0.499,2011
Admas University,1998,,0.488,1998
Admiralty University of Nigeria,2017,,0.528,2017
Adventist University Cosendai,1996,,0.534,1996
Adventist University of Africa,1994,,0.51,1994
Adventist University of Central Africa,1978,,0.558,1978
Adwa-Pan African University,2017,,0.519,2017
Afe Babalola University,2009,,0.486,2009
Africa Health Sciences University,2024,,0.555,2024
Africa International University,1983,,0.54,1983
Africa Nazarene University,1994,,0.552,1994
Africa University,1992,,0.507,1992
African Bible University,2005,,0.532,2005
African Institute for Mathematical Sciences,2003,,0.585,2003
African Institute of Science and Technology,2007,,0.563,2007
African Leadership Institute,2004,,0.557,2004
African Leadership University,2015,,0.555,2015
African Methodist Episcopal University,1995,,0.589,1995
African Regional Institute for Geospatial Information Science and Technology,1972,,0.632,1972
African Rural University,2009,,0.532,2009
African University College of Communications,2002,,0.574,2002
African Virtual University,1997,,0.54,1997
Afro-American University of Central Africa,2015,,0.56,2015
Afya na Haki Institute,2022,,0.506,2022
Aga Khan University,1983,,0.513,1983
Aga Khan University Nairobi,1983,,0.512,1983
Agenla Academy,2012,,0.535,2012
Agitel-Formation,1990,,0.501,1990
Agostinho Neto University,1962,,0.526,1962
Ahfad University for Women,1966,,0.489,1966
Ahmadu Bello University,1962,,0.506,1962
Ahmed Draia University,1986,,0.531,1986
Ahmed Zabana University - Relizane,NA,,0.523,NA
Ahram Canadian University,2005,,0.536,2005
Ain Shams University,1950,,0.488,1950
Air Force Institute of Technology Kaduna,NA,,0.543,NA
Ajayi Crowther University,2005,,0.519,2005
Akademia,2011,,0.526,2011
Akademie Reformatoriese Opleiding en Studies,2003,,0.566,2003
Akhbar El Yom Academy,1999,,0.498,1999
Akobo Heritage and Memorial University,NA,,0.547,NA
"Akrofi-Christaller Institute of Theology, Mission and Culture",1987,,0.588,1987
Aksum University,2007,,0.521,2007
Akwa Ibom State College Of Education,1991,,0.54,1991
Akwa Ibom State University,2000,,0.538,2000
Al Akhawayn University,1995,,0.501,1995
Al Fashir University,1990,,0.507,1990
Al Hayah University in Cairo,2019,,0.526,2019
Al Hayat Medical University,2016,,0.561,2016
Al Salam University,2018,,0.531,2018
Al Zawiya University,1988,,0.51,1988
Al-Ahram Center for Political and Strategic Studies,1968,,0.569,1968
Al-Arab Medical University,1984,,0.539,1984
Al-Azhar University,1986,,0.478,1986
Al-Hikmah University,2005,,0.457,2005
Al-Neelain University,1993,,0.529,1993
Al-Qalam University Katsina,2005,,0.506,2005
AlAlamein International University,2020,,0.556,2020
AlJafara University,2015,,0.451,2015
AlMughtaribeen University,2010,,0.52,2010
Alan J Flisher Centre for Public Mental Health,2010,,0.554,2010
Alasmarya Islamic University,1981,,0.536,1981
Alexandria Higher Institute of Engineering and Technology,1996,,0.556,1996
Alexandria National University,2022,,0.561,2022
Alexandria University,1938,,0.51,1938
