name,wikidata_qid,founded_year,status
Tanzania Institute of Accountancy,Q66424102,2002,done
Université Catholique du Graben,Q3551526,1989,done
ABM University College,Q30266440,1989,done
AIMS Research and Innovation Centre,Q137796048,2023,done
Abbès Laghrour University of Khenchela,Q30294238,2011,done
Abdelmalek Essaâdi University,Q3551367,1982,done
Abdulrahman Al-Sumait University,Q16902334,1998,done
Abia State University,Q3509319,1981,done
Abiola Ajimobi Technical University Ibadan,NA,NA,done
Abrar Research and Training Centre (ARACHTI),Q139771299,2014,done
Abrar University,Q100955851,2014,done
Abubakar Tafawa Balewa University,Q4670504,1982,done
Academic City College University,NA,NA,done
Academic University,Q4059193,1724,done
Academy of Arts,Q383092,NA,done
Academy of Engineering Sciences,Q19460085,2002,done
Académie des Beaux-Arts,Q337531,1816,done
Accra Institute of Technology,Q16240676,2009,done
Accra Technical University,Q4672825,1949,done
Achievers University,Q4673678,2007,done
Adama Hospital Medical College,Q136352001,2012,done
Adama Science and Technology University,Q4680095,2005,done
Adamawa State University,Q4680123,2002,done
Addis Ababa Science and Technology University,Q30266442,2011,done
Addis Ababa University,Q1238770,1950,done
Adekunle Ajasin University,Q4681526,1999,done
Adeleke University,Q25043984,2011,done
Adigrat University,Q28223078,2011,done
Admas University,Q721103,2006,done
Admiralty University of Nigeria,Q107724079,2017,done
Adventist University Cosendai,NA,NA,done
Adventist University of Africa,Q3551516,2005,done
Adventist University of Central Africa,Q24937816,1978,done
Adwa-Pan African University,Q60785773,2017,done
Afe Babalola University,Q4688832,2009,done
Africa Health Sciences University,Q135398339,2024,done
Africa International University,Q16250182,1983,done
Africa Nazarene University,Q4689577,1994,done
Africa University,Q383939,1992,done
African Bible University,Q4689708,2005,done
African Institute for Mathematical Sciences,Q2826172,2003,done
African Institute of Science and Technology,NA,NA,done
African Leadership Institute,NA,NA,done
African Leadership University,Q25104613,2015,done
African Methodist Episcopal University,Q4689862,1995,done
African Regional Institute for Geospatial Information Science and Technology,Q124092211,NA,done
African Rural University,Q17510024,2009,done
African University College of Communications,Q4689946,2002,done
African Virtual University,Q4689951,1997,done
Afro-American University of Central Africa,Q122142167,2015,done
Afya na Haki Institute,Q130882836,2022,done
Aga Khan University,Q4690953,1983,done
Aga Khan University Nairobi,NA,NA,done
Agenla Academy,Q135738806,2012,done
Agitel-Formation,Q2826874,1990,done
Agostinho Neto University,Q1325937,1962,done
Ahfad University for Women,Q400222,1966,done
Ahmadu Bello University,Q401034,1962,done
Ahmed Draia University,NA,NA,done
Ahmed Zabana University - Relizane,NA,NA,done
Ahram Canadian University,Q4702165,2005,done
Ain Shams University,Q2723670,1950,done
Air Force Institute of Technology Kaduna,NA,NA,done
Ajayi Crowther University,Q4699675,2005,done
Akademia,Q189441,1364,done
Akademie Reformatoriese Opleiding en Studies,Q42116192,2003,done
Akhbar El Yom Academy,Q30294235,NA,done
Akobo Heritage and Memorial University,Q4701497,NA,done
"Akrofi-Christaller Institute of Theology, Mission and Culture",Q30294150,1987,done
Aksum University,Q4701848,2007,done
Akwa Ibom State College Of Education,Q124448615,1991,done
Akwa Ibom State University,Q4702002,2010,done
Al Akhawayn University,Q2829294,1995,done
Al Fashir University,Q4703811,1990,done
Al Hayah University in Cairo,Q79403381,2019,done
Al Hayat Medical University,Q139771675,2016,done
Al Salam University,NA,NA,done
Al Zawiya University,Q3066997,1983,done
Al-Ahram Center for Political and Strategic Studies,Q4702168,1968,done
Al-Arab Medical University,Q3648084,1984,done
Al-Azhar University,Q173959,970,done
Al-Hikmah University,Q4702511,2005,done
Al-Neelain University,Q4121165,1955,done
Al-Qalam University Katsina,NA,NA,done
AlAlamein International University,Q4705896,2020,done
AlJafara University,Q138859843,2015,done
AlMughtaribeen University,Q15648560,2010,done
Alan J Flisher Centre for Public Mental Health,Q139771681,2010,done
Alasmarya Islamic University,Q4703503,1506,done
Alexandria Higher Institute of Engineering and Technology,Q4720977,1996,done
Alexandria National University,Q111307163,2021,done
Alexandria University,Q1424632,1938,done
All Nations University,Q258200,2002,done
All Saints University Lango,Q4729602,2008,done
Alupe University,Q111181045,2015,done
"Alvan Ikoku Federal University of Education, Owerri",NA,NA,done
Alzaiem Alazhari University,Q4738816,1993,done
Ambo University,Q29569926,1939,done
Ambrose Alli University,Q4741757,1981,done
American International School in Egypt,NA,NA,done
American International University West Africa,Q16251004,2011,done
American University in Cairo,Q469476,1919,done
American University of Nigeria,Q3510835,2003,done
Amoud University,Q3493066,1998,done
Amref International University,Q48816436,2017,done
Anglican University College of Technology,Q105078708,2008,done
Ankole Western University,Q4766090,2005,done
"Arab Academy for Management, Banking and Financial Sciences",Q12183553,1988,done
"Arab Academy for Science, Technology, and Maritime Transport",NA,NA,done
Arab Open University,Q3679860,2000,done
Arab Studies and Research Institute,Q30294384,NA,done
Arba Minch University,Q4784581,1986,done
Arbaminch College of Education,Q139407942,1988,done
Ardhi University,Q4788041,2007,done
Arish University,Q28714635,2016,done
Armed Forces College of Medicine,Q107518891,2013,done
Arrupe Jesuit University,Q22032220,1994,done
Arthur Jarvis University,Q60760650,2016,done
Ashesi University,Q725198,2002,done
Asossa University,Q30266446,2011,done
Assiut University,Q246534,1957,done
Assiut University Hospitals,Q30253933,1987,done
Aswan University,Q4811978,2012,done
Atiba University,Q107717874,2017,done
Atlantic African Oriental Multicultural University International,NA,NA,done
Auchi Polytechnic,Q17929150,1964,done
"Augustine University, Ilara",NA,NA,done
Azzaytuna University,Q22686987,2001,done
Ba Isago University,Q99678207,2002,done
